year,country,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,brn,20.54,20.28,2,13,26.72,22.93,30.83,2581.59,0.4,0.6,12.54168828
1992,brn,27.19,26.98,1.9,13,26.73,22.64,30.88,2456.84,0.22,0.21,12.92427257
1993,brn,27.81,27.61,1.9,13,26.75,22.64,30.75,2642.56,0.23,0.28,13.79670054
1994,brn,29.61,29.43,1.8,13,26.77,22.72,30.82,2777.29,0.31,0.39,14.60975902
1995,brn,30.4,30.26,1.7,12,26.81,22.87,30.7,3306.6,0.45,0.78,15.38196639
1996,brn,26.76,26.57,1.7,12,26.85,22.74,30.63,3512.46,0.33,0.43,15.76506551
1997,brn,33.85,33.66,1.6,12,26.89,22.99,31.02,2745.73,0.46,0.53,16.68247051
1998,brn,38.87,38.7,1.5,12,26.94,23.41,31.27,2794.69,0.61,0.88,14.11173443
1999,brn,48.33,48.19,1.5,12,26.98,22.87,30.87,3854.86,0.38,0.64,13.5547096
2000,brn,54.84,54.73,1.4,12,27.01,22.9,30.96,3632.07,0.39,0.59,14.12857939
2001,brn,62.8,62.7,1.4,13,27.01,22.94,31.07,3409.16,0.53,0.77,13.81900994
2002,brn,69.54,69.45,1.4,13,26.99,22.93,31.22,2743.31,0.63,0.93,13.29666756
2003,brn,68.19,68.07,1.4,13,26.95,22.87,30.96,3070.88,0.62,0.91,15.57852815
2004,brn,66.02,65.86,1.4,13,26.9,22.83,30.92,2768.12,0.53,0.72,14.15687134
2005,brn,48.84,48.59,1.4,13,26.85,22.8,31.08,3234.08,0.68,1.15,13.61076798
2006,brn,78.22,78.17,1.4,12.3,26.81,22.78,31.02,3528.55,0.64,1.03,20.17338684
2007,brn,81.93,81.91,1.4,12.4,26.78,22.78,30.85,3585.94,0.66,1.18,18.86003358
2008,brn,84.4,84.36,1.4,12.4,26.76,22.52,30.63,4027.02,0.54,0.89,20.57503484
2009,brn,84.86,84.82,1.4,13.4,26.77,22.83,31.06,3635.22,0.66,0.99,20.17442501
2010,brn,89.09,89.06,1.4,13.4,26.8,22.8,30.97,3872.29,0.72,1.19,18.10565758
2011,brn,95.8,95.8,1.4,13.4,26.85,22.67,30.92,3821.04,0.61,1.07,18.26298984
2012,brn,97.4,97.4,1.4,13.4,26.93,22.78,31.25,3356.61,0.65,1.05,17.95103213
2013,brn,105.33,105.36,1.4,13.4,27.02,22.9,31.29,3472.45,0.68,1.05,17.5097522
2014,brn,99.3,99.31,1.4,13.4,27.12,22.73,31.1,3203.68,0.74,1.09,16.99315502
2015,brn,97.33,97.31,1.4,13.4,27.21,23.17,31.36,2862.4,0.9,1.34,15.18067944
2016,brn,103.37,103.38,1.4,13.4,27.27,23.46,31.65,2552.39,1.02,1.65,16.35821162
2017,brn,99.9,99.89,1.4,13.4,27.3,22.92,31.3,3853.43,0.92,1.48,16.9430784
2018,brn,101.29,101.28,1.1,13.4,27.27,22.92,31.47,3621.08,0.85,1.34,17.36231043
2019,brn,100.56,100.54,2,13.4,27.21,23.12,31.6,2971.42,0.98,1.52,16.11193294
2020,brn,107.52,107.53,1.3,13.4,27.13,22.95,31.49,3655.16,1.01,1.66,21.70581244
1991,ind,48.74,60.75,52.2,41524,25.81,21.22,30.45,2457.19,0.4,0.6,0.875665865
1992,ind,52.49,65.6,51.9,41351,25.81,21.24,30.43,2663.14,0.22,0.21,0.909084854
1993,ind,53.5,66.2,49.3,42016,25.77,21.23,30.36,2571.08,0.23,0.28,0.965317195
1994,ind,53.77,66.1,44.8,41971,25.8,21.28,30.38,2532.01,0.31,0.39,1.021788842
1995,ind,58.21,71.57,44,42978,25.84,21.35,30.38,2926.12,0.45,0.78,1.128891779
1996,ind,59.64,73.06,42.3,42968,25.84,21.33,30.41,2827.06,0.33,0.43,1.175510968
1997,ind,57.09,69.35,40.8,43527,25.95,21.38,30.57,2265.26,0.46,0.53,1.276252473
