year,country,casava,coconut,rice ,prod ,labor,land ,max_temp ,mean_temp,min_temp,prec,glob_nasa,glob_noa,CO2
1991,brn,1000,118.67,1300,20.54,2,13,30.83,25.28,20.72,2581.59,0.4,0.6,12.54168828
1992,brn,1200,115,1100,27.19,1.9,13,30.88,25.09,20.37,2456.84,0.22,0.21,12.92427257
1993,brn,1278.32,120,1200,27.81,1.9,13,30.75,25.11,20.45,2642.56,0.23,0.28,13.79670054
1994,brn,1400,125,1200,29.61,1.8,13,30.82,25.5,20.8,2777.29,0.31,0.39,14.60975902
1995,brn,1422.37,141.58,800,30.4,1.7,12,30.7,25.78,21.15,3306.6,0.45,0.78,15.38196639
1996,brn,1500,163,700,26.76,1.7,12,30.63,25.67,20.83,3512.46,0.33,0.43,15.76506551
1997,brn,1528.6,163,700,33.85,1.6,12,31.02,25.24,20.67,2745.73,0.46,0.53,16.68247051
1998,brn,1600,163,700,38.87,1.5,12,31.27,25.94,21.35,2794.69,0.61,0.88,14.11173443
1999,brn,1655.07,163,300,48.33,1.5,12,30.87,26.11,21.4,3854.86,0.38,0.64,13.5547096
2000,brn,1700,169,463,54.84,1.4,12,30.96,25.3,20.58,3632.07,0.39,0.59,14.12857939
2001,brn,1600,170,481,62.8,1.4,13,31.07,26.03,21.24,3409.16,0.53,0.77,13.81900994
2002,brn,1800,180,508,69.54,1.4,13,31.22,25.8,21.12,2743.31,0.63,0.93,13.29666756
2003,brn,1974.05,185,689,68.19,1.4,13,30.96,25.76,21.11,3070.88,0.62,0.91,15.57852815
2004,brn,2132.6,213,757,66.02,1.4,13,30.92,25.83,21.1,2768.12,0.53,0.72,14.15687134
2005,brn,2344.74,358,975,48.84,1.4,13,31.08,26.03,21.35,3234.08,0.68,1.15,13.61076798
2006,brn,2484.84,324,1095,78.22,1.4,12.3,31.02,26.36,21.59,3528.55,0.64,1.03,20.17338684
2007,brn,2634.53,350,1360,81.93,1.4,12.4,30.85,26.08,21.26,3585.94,0.66,1.18,18.86003358
2008,brn,2834.64,342.45,1150,84.4,1.4,12.4,30.63,25.86,21.27,4027.02,0.54,0.89,20.57503484
2009,brn,2929.28,350.8,1060,84.86,1.4,13.4,31.06,26.6,21.68,3635.22,0.66,0.99,20.17442501
2010,brn,3100,358.31,1600,89.09,1.4,13.4,30.97,26.49,21.73,3872.29,0.72,1.19,18.10565758
2011,brn,3016.82,365.04,2200,95.8,1.4,13.4,30.92,25.87,21.11,3821.04,0.61,1.07,18.26298984
2012,brn,3000,374.1,2200,97.4,1.4,13.4,31.25,25.37,20.5,3356.61,0.65,1.05,17.95103213
2013,brn,3000,380.47,1900,105.33,1.4,13.4,31.29,25.3,20.54,3472.45,0.68,1.05,17.5097522
2014,brn,3013.43,390.21,2100,99.3,1.4,13.4,31.1,25.59,20.83,3203.68,0.74,1.09,16.99315502
2015,brn,3241.48,415.67,3100,97.33,1.4,13.4,31.36,25.44,20.78,2862.4,0.9,1.34,15.18067944
2016,brn,3084.97,395.45,2400,103.37,1.4,13.4,31.65,25.9,21.29,2552.39,1.02,1.65,16.35821162
2017,brn,3105.08,398.09,2300,99.9,1.4,13.4,31.3,25.67,21.11,3853.43,0.92,1.48,16.9430784
2018,brn,2242.01,405.51,2400,101.29,1.1,13.4,31.47,25.27,20.51,3621.08,0.85,1.34,17.36231043
2019,brn,1197.44,399.68,2300,100.56,2,13.4,31.6,25.62,20.95,2971.42,0.98,1.52,16.11193294
2020,brn,304,423.12,3900,107.52,1.3,13.4,31.49,25.39,20.77,3655.16,1.01,1.66,21.70581244
