year,country,cassava,coconut ,maize ,palm oil,rice ,soybean ,sugarcane,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,cam,56000,48000,60000,160000,2400000,35000,145000,23.86,23.71,79,4510,27.6,23.09,32.16,1754.49,0.4,0.6,0.140871909
1992,cam,150000,50000,60000,160000,2221000,40000,142000,24.12,23.92,78.4,4515,27.35,22.79,31.95,1591.63,0.22,0.21,0.138744821
1993,cam,51292,51000,45414,160000,2383350,39000,145378,24.9,24.85,78.4,4531,27.3,22.73,31.91,1364.86,0.23,0.28,0.135206252
1994,cam,65000,53000,45000,160000,2223500,23000,219000,24.29,23.97,79.3,4570,27.41,22.93,31.94,2023.51,0.31,0.39,0.134002322
1995,cam,81950,51500,54900,160000,3447800,17240,202490,31.05,31.08,78.9,4570,27.28,22.68,31.92,1658.42,0.45,0.78,0.134694467
1996,cam,69656,66250,64563,160000,3404000,28299,171305,31.26,31.27,76,4580,26.88,22.38,31.43,2001.46,0.33,0.43,0.13680167
1997,cam,77270,63000,42423,160000,3414917,56342,187542,31.97,32.01,75.1,4580,27.41,22.76,32.12,1850.1,0.46,0.53,0.143514858
1998,cam,66534,51000,48510,160000,3509871,27709,133053,32.42,32.44,75.5,4630,28.03,23.43,32.69,1703.49,0.61,0.88,0.161298104
1999,cam,228512,55000,95274,160000,4040900,35063,159859,36.15,36.37,74.6,4640,26.84,22.5,31.24,2101.29,0.38,0.64,0.160273892
2000,cam,147763,58000,156972,160000,4026092,28111,164176,37.07,37.35,73.5,4770,27.09,22.66,31.58,2010.1,0.39,0.59,0.161979186
2001,cam,142262,52975.62,185589,160000,4099016,24658,169302,37.44,37.89,68.9,4890,27.28,22.84,31.78,2140.84,0.53,0.77,0.174466405
2002,cam,122014,70000,148897,160000,3822509,38801,208819,35.73,36.21,67.5,5000,27.38,22.84,31.98,1999.03,0.63,0.93,0.176002141
2003,cam,330649,71000,314591,160000,4710957,63188,173105,42.37,43.04,66.1,5100,27.3,22.61,32.04,1728.87,0.62,0.91,0.18597544
2004,cam,362050,71000,256665,160000,4170284,110305,130363,40.21,41.07,64,5230,27.29,22.68,31.95,1737.54,0.53,0.72,0.182677645
2005,cam,535623,71000,247760,160000,5986200,179096,118164,52.13,53.22,62.1,5356,27.43,23.13,31.78,1813.5,0.68,1.15,0.200617774
2006,cam,2182043,70000,376938,160000,6264123,98289,141704,56.63,57.88,60.1,5355,27.42,22.99,31.89,2115.55,0.64,1.03,0.219843344
2007,cam,2215000,71000,523000,160000,6727000,117000,286811,59.35,60.81,58.1,5355,27.25,22.85,31.71,2090.33,0.66,1.18,0.266918395
2008,cam,3676232,70900,611865,160000,7175473,108449,385238,64.82,66.14,55.9,5355,26.85,22.5,31.26,1780.29,0.54,0.89,0.290844275
2009,cam,3497306,61350,924026,160000,7585870,137275,350155,67.94,69.41,58,5355,27.24,22.75,31.78,1852.78,0.66,0.99,0.335199714
2010,cam,4247419,65500,773269,160000,8245320,156589,365555,73.07,74.63,54.8,5403,27.8,23.37,32.26,1569.24,0.72,1.19,0.357906398
2011,cam,8033843,65600,717000,160000,8779000,114603,468738,83.65,85.55,56.5,5450.6938,26.82,22.45,31.23,2173.05,0.61,1.07,0.368035016
2012,cam,7613697,66940,950909,160000,9290940,120165,573771,86.5,88.4,53.2,5532.3722,27.7,23.36,32.09,1859.71,0.65,1.05,0.383718005
2013,cam,7933400,70580,848400,160000,9390000,131100,911300,88.02,89.62,49.5,5572.1242,27.29,22.97,31.66,1962.46,0.68,1.05,0.38251475
2014,cam,11943200,62090,474000,160000,9324000,104200,1541000,95.35,96.88,46,5601.8761,27.41,22.94,31.93,1807.16,0.74,1.09,0.456727604
2015,cam,13298100,72000,333100,192794.92,9335000,96900,709200,97.54,98.76,42.5,5647.628,27.8,23.3,32.35,1457.79,0.9,1.34,0.546949079
2016,cam,14175500,84000,542300,241107.81,9952000,69400,613400,107.1,104.36,37.5,5700.38,27.97,23.58,32.41,1647.03,1.02,1.65,0.708268457
2017,cam,13817300,84000,1231500,307524.65,10518000,73300,629300,109.46,109.12,38.2,5784.1319,27.45,23.2,31.75,2011.63,0.92,1.48,0.799744092
2018,cam,13750100,83000,1231500,378888.59,10892000,91800,691900,112.56,111.36,39,5855.8838,27.47,23.2,31.79,1790.62,0.85,1.34,0.845896953
2019,cam,13512800,83000,895000,445000,10885700,42100,618300,111.79,109.42,39.9,5950.6358,27.99,23.44,32.59,1805.67,0.98,1.52,1.116330426
2020,cam,13757218.45,84000,900000,500000,10936000,47497.45,661617.77,114,110.34,39.4,6045.3877,27.89,23.5,32.34,1721.41,1.01,1.66,1.137583659
