year,country ,prod,gdp,capital,labor,land,dom_temp,prec,ano_temp,mean_temp
1991,bgd,43.93,"1,100,327.29","160,041.81",64,10320,30.06,2565.61,0.5,0.4
1992,bgd,44.42,"1,195,420.00","206,869.00",63.9,9549,30.07,1710.4,0.43,0.22
1993,bgd,44.27,"1,253,700.00","224,998.00",63.7,9446,30.12,2601.27,0.39,0.23
1994,bgd,43.09,"1,354,120.00","249,193.00",63.5,9358,30.19,1764.34,0.06,0.31
1995,bgd,44.59,"1,525,180.00","291,611.00",63.3,9374,30.26,2312.05,0.76,0.45
1996,bgd,47.25,"1,663,240.00","332,535.00",62.9,9327,30.32,2108.26,0.5,0.33
1997,bgd,48.33,"1,807,010.00","374,465.00",62.4,9365,30.36,2148.49,0.37,0.46
1998,bgd,49.91,"2,001,770.00","433,030.00",61.9,9434,30.38,2497.1,0.81,0.61
1999,bgd,56.27,"2,196,970.00","487,575.00",61.4,9486,30.41,2513.31,0.64,0.38
2000,bgd,59.79,"2,370,860.00","545,865.00",60.8,9400,30.45,2332.93,0.55,0.39
2001,bgd,58.8,"2,535,460.00","585,363.00",58,9403,30.5,2252.27,0.43,0.53
2002,bgd,60.42,"2,732,010.00","632,392.00",55,9353,30.59,2301.65,0.68,0.63
2003,bgd,62.07,"3,005,801.00","703,517.00",51.7,9328,30.69,2150.53,0.62,0.62
2004,bgd,60.91,"3,329,731.00","799,905.00",50,9323,30.8,2217,0.71,0.53
2005,bgd,68.29,"3,707,070.00","909,241.00",48.1,9311,30.89,1991.46,0.63,0.68
2006,bgd,70.43,"4,823,370.00","1,261,029.00",48.1,9280,30.95,1901.93,0.77,0.64
2007,bgd,74.13,"5,598,182.51","1,468,396.58",47.9,9266,30.98,2456.52,0.71,0.66
2008,bgd,80.07,"6,518,028.77","1,714,582.42",47.7,9253,30.96,2156.07,0.33,0.54
2009,bgd,80.07,"7,443,222.62","1,962,083.30",47.5,9246,30.91,1957.16,0.55,0.66
2010,bgd,84.78,"8,572,786.02","2,267,787.06",47.3,9241,30.84,2193.72,0.84,0.72
2011,bgd,89.13,"10,023,677.12","2,775,670.92",46.7,9128,30.74,1948.29,0.51,0.61
2012,bgd,90.45,"11,759,578.49","3,362,864.73",45.9,9123,30.62,1947.81,0.52,0.65
2013,bgd,94.36,"13,604,708.63","3,915,704.93",45.1,9278,30.5,1996.3,0.6,0.68
2014,bgd,97.98,"15,525,102.58","4,506,892.56",44.4,9320,30.38,1770.36,0.59,0.74
2015,bgd,100.76,"17,833,045.71","5,243,094.70",43.5,9434.24,30.28,2486.1,0.87,0.9
2016,bgd,101.26,"20,758,212.26","6,277,233.00",42.7,9517.21,30.2,2076.43,1.34,1.02
2017,bgd,110.83,"23,243,072.58","7,193,004.00",40.6,9561.33,30.17,2674.16,1.1,0.92
2018,bgd,110.78,"26,392,479.20","8,398,768.00",39.4,9627.3,30.18,1770.78,0.89,0.85
2019,bgd,112.26,"29,514,287.58","9,507,653.00",38.3,9872,30.22,1991.53,0.91,0.98
2020,bgd,116.05,"31,704,694.47","9,926,087.00",37.9,9928,30.3,2429.3,1.21,1.01
2021,bgd,121.49,"35,301,847.51","10,950,188.00",37.1,10068,30.39,2092.6,0.66,0.85
1991,cam,23.86,"1,614,966.68","152,145.35",79,4510,32.16,1710.35,0.5,0.4
1992,cam,24.12,"3,031,761.57","296,648.44",78.4,4515,31.95,1603,0.43,0.22
1993,cam,24.9,"6,544,640.00","668,610.00",78.4,4531,31.91,1477.24,0.39,0.23
1994,cam,24.29,"6,811,570.00","688,590.00",79.3,4570,31.94,1996.79,0.06,0.31
1995,cam,31.05,"8,110,680.00","1,069,000.00",78.9,4570,31.92,1875.82,0.76,0.45
1996,cam,31.26,"9,201,920.59","1,166,443.00",76,4580,31.43,1868.35,0.5,0.33
1997,cam,31.97,"10,145,328.87","1,361,463.00",75.1,4580,32.12,1625.27,0.37,0.46
1998,cam,32.42,"11,720,318.19","1,451,715.00",75.5,4630,32.69,1841.49,0.81,0.61
1999,cam,36.15,"13,376,073.14","2,137,353.00",74.6,4640,31.24,1942.86,0.64,0.38
2000,cam,37.07,"14,082,638.23","2,578,599.00",73.5,4770,31.58,2019.72,0.55,0.39
2001,cam,37.44,"15,633,200.00","2,474,570.00",68.9,4890,31.78,1906.76,0.43,0.53
2002,cam,35.73,"16,780,500.00","3,193,140.00",67.5,5000,31.98,1817.18,0.68,0.63
2003,cam,42.37,"18,535,200.00","3,460,780.00",66.1,5100,32.04,1776.92,0.62,0.62
2004,cam,40.21,"21,438,300.00","3,931,800.00",64,5230,31.95,1686.93,0.71,0.53
2005,cam,52.13,"25,754,300.00","4,864,240.00",62.1,5356,31.78,1722.67,0.63,0.68
2006,cam,56.63,"29,849,100.00","5,774,650.00",60.1,5355,31.89,2030.42,0.77,0.64
2007,cam,59.35,"35,042,200.00","6,928,260.00",58.1,5355,31.71,2215.91,0.71,0.66
2008,cam,64.82,"41,968,400.00","7,246,690.00",55.9,5355,31.26,1773.94,0.33,0.54
2009,cam,67.94,"43,056,700.00","8,665,430.00",58,5355,31.78,1859.94,0.55,0.66
2010,cam,73.07,"47,048,000.00","7,618,980.00",54.8,5403,32.26,1744.49,0.84,0.72
2011,cam,83.65,"52,068,700.00","8,316,290.00",56.5,5450.6938,31.23,2097.42,0.51,0.61
2012,cam,86.5,"56,616,800.00","9,840,640.00",53.2,5532.3722,32.09,1817.68,0.52,0.65
2013,cam,88.02,"62,219,500.00","11,619,000.00",49.5,5572.1242,31.66,2098.12,0.6,0.68
2014,cam,95.35,"67,740,400.00","14,188,500.00",46,5601.8761,31.93,1848.17,0.59,0.74
2015,cam,97.54,"73,422,700.00","15,738,100.00",42.5,5647.628,32.35,1658.74,0.87,0.9
2016,cam,107.1,"81,241,900.00","17,617,500.00",37.5,5700.38,32.41,1738.23,1.34,1.02
2017,cam,109.46,"89,830,525.00","19,670,837.23",38.2,5784.1319,31.75,2032.33,1.1,0.92
2018,cam,112.56,"99,544,274.79","22,448,258.80",39,5855.8838,31.79,1770.71,0.89,0.85
2019,cam,111.79,"110,014,048.24","25,697,207.39",39.9,5950.6358,32.59,1710.63,0.91,0.98
2020,cam,114,"103,511,608.95","25,439,768.33",39.4,6045.3877,32.34,1812.06,1.21,1.01
2021,cam,128.18,"109,310,850.46","26,781,158.36",38.9,6099.1397,31.86,2081.74,0.66,0.85
1991,lao,18.94,"752,124.06","125,601.88",86.5,1662,29.3,1682.84,0.5,0.4
1992,lao,21.61,"879,916.75","143,576.53",86.4,1664,28.94,1704.4,0.43,0.22
1993,lao,20.59,"993,446.04","162,929.14",86.1,1665,29.05,1401.34,0.39,0.23
1994,lao,23.9,"1,154,415.82","196,851.78",85.9,1690,29.02,1956.02,0.06,0.31
1995,lao,21.91,"1,490,613.00","249,542.87",85.4,1700,28.87,1804.43,0.76,0.45
1996,lao,22.07,"1,798,381.77","326,283.59",84.8,1700,28.41,1991.5,0.5,0.33
1997,lao,24.85,"2,293,014.84","391,544.57",83.8,1756,29.08,1759.69,0.37,0.46
1998,lao,26.02,"4,417,416.52","695,283.36",83.3,1765,29.97,1655.74,0.81,0.61
1999,lao,30.55,"10,762,826.30","2,017,121.44",82.7,1773,28.47,2034.64,0.64,0.38
2000,lao,34.84,"14,245,300.73","1,984,284.71",81.9,1806,28.66,1854.56,0.55,0.39
2001,lao,35.59,"16,363,238.73","2,306,285.54",81.1,1841,28.76,2091.3,0.43,0.53
2002,lao,39.36,"19,176,098.18","5,568,819.93",80.5,1876,28.86,2145.69,0.68,0.63
2003,lao,38.44,"23,085,729.85","6,408,332.92",79.6,1911,28.97,1628.67,0.62,0.62
2004,lao,40.28,"27,276,797.76","8,626,331.47",78.5,1946,28.85,1762.78,0.71,0.53
2005,lao,42.32,"31,393,853.16","10,766,036.26",77.5,1985,29.06,1911.04,0.63,0.68
2006,lao,43.59,"36,636,597.38","10,548,452.93",76.6,2025,29.12,1915.64,0.77,0.64
2007,lao,46.92,"43,886,523.08","13,103,179.15",75.3,2063,28.82,1857.64,0.71,0.66
2008,lao,50.16,"50,119,823.93","15,080,376.96",73.8,2104,28.2,2129.78,0.33,0.54
2009,lao,55.52,"51,581,276.78","16,856,698.39",72.7,2168,29.09,1667.68,0.55,0.66
2010,lao,60.85,"60,400,107.53","16,164,251.76",71.5,2220,29.66,1777.61,0.84,0.72
2011,lao,68.03,"70,196,452.82","19,716,584.02",70.1,2276.5,28.03,2192.03,0.51,0.61
2012,lao,72.42,"81,609,900.00","26,522,000.00",68.8,2307.25,29.39,1867.34,0.52,0.65
2013,lao,75.23,"93,867,600.00","28,554,000.00",67.2,2335,28.92,2066.34,0.6,0.68
2014,lao,90.06,"106,797,000.00","32,780,000.00",65.5,2335,29.22,1555.54,0.59,0.74
2015,lao,104.3,"117,252,000.00","36,255,000.00",64,2335,29.59,1567.26,0.87,0.9
2016,lao,105.64,"129,279,000.00","38,217,000.00",62.7,2335,29.47,1902.65,1.34,1.02
2017,lao,98.87,"140,749,000.00","47,051,000.00",61,2258.9,28.76,2070.77,1.1,0.92
2018,lao,99.33,"152,414,000.00","54,724,000.00",60.1,2182.8,28.78,1888.32,0.89,0.85
2019,lao,103.47,"162,657,000.00","63,291,000.00",59.2,2106.7,29.98,1459.63,0.91,0.98
2020,lao,106.51,"172,919,000.00","65,431,000.00",58.8,2031,29.61,1548.98,1.21,1.01
2021,lao,109.48,"184,982,000.00","69,463,611.89",58.1,2031,29.07,1739.64,0.66,0.85
1991,myn,28.62,"218,098.50","29,377.50",69.4,10416,29.03,2026.85,0.5,0.4
1992,myn,32.14,"304,858.00","34,324.50",69.1,10398,28.68,2015.49,0.43,0.22
1993,myn,34.81,"416,547.50","46,030.50",68.9,10446,28.85,1818.62,0.39,0.23
1994,myn,37.27,"538,751.50","68,589.00",68.7,10421,29.17,2093.81,0.06,0.31
