year,country,cassava,maize ,rice ,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,ind,15954467,6255906,44688240,48.74,60.75,52.2,41524,25.81,21.22,30.45,2457.19,0.4,0.6,0.875665865
1992,ind,16515860,7995459,48240008,52.49,65.6,51.9,41351,25.81,21.24,30.43,2663.14,0.22,0.21,0.909084854
1993,ind,17285380,6459737,48181088,53.5,66.2,49.3,42016,25.77,21.23,30.36,2571.08,0.23,0.28,0.965317195
1994,ind,15729000,6868880,46641500,53.77,66.1,44.8,41971,25.8,21.28,30.38,2532.01,0.31,0.39,1.021788842
1995,ind,15441481,8245902,49744140,58.21,71.57,44,42978,25.84,21.35,30.38,2926.12,0.45,0.78,1.128891779
1996,ind,17002456,9307423,51101504,59.64,73.06,42.3,42968,25.84,21.33,30.41,2827.06,0.33,0.43,1.175510968
1997,ind,15134021,8770851,49377056,57.09,69.35,40.8,43527,25.95,21.38,30.57,2265.26,0.46,0.53,1.276252473
1998,ind,14696203,10169488,49236700,57.46,69.42,45,43877,26.2,21.66,30.78,2867.93,0.61,0.88,1.263883408
1999,ind,16438100,9204036,50866388,58.1,69.72,43.2,45877,25.79,21.24,30.39,2907.99,0.38,0.64,1.324582905
2000,ind,16089100,9677000,51898000,60.24,72.03,45.3,47177,25.87,21.32,30.46,2925.48,0.39,0.59,1.310938133
2001,ind,17054600,9347200,50460800,61.65,73.06,43.8,48675,25.93,21.39,30.51,2864.07,0.53,0.77,1.391237665
2002,ind,16912900,9585277,51489696,65.19,76.92,44.3,49950,26.06,21.46,30.71,2584.74,0.63,0.93,1.388514514
2003,ind,18523800,10886442,52137600,69.62,81.68,46.4,51125,25.92,21.36,30.53,2876.96,0.62,0.91,1.496673475
2004,ind,19424708,11225243,54088468,73.16,84.88,43.3,51900,25.94,21.36,30.56,2627.12,0.53,0.72,1.510301505
2005,ind,19321200,12523894,54151096,75.36,85.43,44,52130,25.95,21.43,30.53,2731.2,0.68,1.15,1.495368915
2006,ind,19986640,11609463,54454936,78.4,87.91,42.1,53260,25.84,21.29,30.44,2641.45,0.64,1.03,1.572351362
2007,ind,19988058,13287527,54591000,78.71,88.35,41.3,54290,25.86,21.41,30.35,2855.85,0.66,1.18,1.617812178
2008,ind,21593052,16323922,57661000,82.83,92.85,41.1,54620,25.73,21.27,30.25,2997.08,0.54,0.89,1.580832415
2009,ind,22039148,17629740,59014000,85.34,96.05,40.5,55350,26,21.53,30.52,2761.9,0.66,0.99,1.622875724
2010,ind,23918118,18327636,59283000,91.05,95,39.1,55380,26.1,21.69,30.56,3275.81,0.72,1.19,1.702905979
2011,ind,24044024,17643250,58259000,93.46,95.63,37.2,56410,25.9,21.47,30.38,2898.47,0.61,1.07,1.925542224
2012,ind,24177372,19387022,59705000,98.51,101.01,35.9,56440,26.01,21.54,30.53,2853.46,0.65,1.05,1.925450048
2013,ind,23936920,18511853,60095000,99.59,100.07,35,56970,26.07,21.6,30.59,2897.18,0.68,1.05,1.770402032
2014,ind,23436384,19008426,59059000,99.03,99.6,34.3,57300,26.04,21.54,30.59,2590.38,0.74,1.09,1.891427827
2015,ind,21801415,19612435,61031000,101.06,101.74,33,57800,26.13,21.64,30.68,2471.77,0.9,1.34,1.887564481
2016,ind,20260675,23578413,54031000,99.91,98.66,31.8,59700,26.24,21.82,30.72,2945.2,1.02,1.65,1.848303852
2017,ind,19053748,28924015,55252000,114.66,110,30.8,63300,26.05,21.57,30.58,3014.67,0.92,1.48,1.948574431
2018,ind,16119020.03,30253938,59200534,119.39,115.55,29.7,63900,26.06,21.49,30.68,2811.7,0.85,1.34,2.126836838
2019,ind,16350000,19650000,54604033,114.92,109.5,28.7,64100,26.21,21.67,30.81,2500.53,0.98,1.52,2.245285771
2020,ind,16271000,16926000,54649202.24,115.36,110.75,29.6,64300,26.2,21.68,30.78,2982.69,1.01,1.66,2.071658962
