year,country,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,lao,18.94,18.13,86.5,1662,24.39,19.52,29.3,1682.84,0.4,0.6,0.123035456
1992,lao,21.61,20.88,86.4,1664,23.86,18.82,28.94,1704.4,0.22,0.21,0.13057645
1993,lao,20.59,19.46,86.1,1665,23.98,18.95,29.05,1401.34,0.23,0.28,0.130251662
1994,lao,23.9,23.05,85.9,1690,24.13,19.29,29.02,1956.02,0.31,0.39,0.132763536
1995,lao,21.91,21.18,85.4,1700,23.94,19.06,28.87,1804.43,0.45,0.78,0.136978443
1996,lao,22.07,21.5,84.8,1700,23.59,18.81,28.41,1991.5,0.33,0.43,0.154931537
1997,lao,24.85,24.31,83.8,1756,24.09,19.16,29.08,1759.69,0.46,0.53,0.160443275
1998,lao,26.02,25.62,83.3,1765,24.86,19.8,29.97,1655.74,0.61,0.88,0.162452982
1999,lao,30.55,30.69,82.7,1773,23.77,19.11,28.47,2034.64,0.38,0.64,0.164437887
2000,lao,34.84,34.37,81.9,1806,23.83,19.04,28.66,1854.56,0.39,0.59,0.166285112
2001,lao,35.59,35.71,81.1,1841,24.06,19.4,28.76,2091.3,0.53,0.77,0.180772276
2002,lao,39.36,39.82,80.5,1876,24.11,19.41,28.86,2145.69,0.63,0.93,0.197192309
2003,lao,38.44,39.01,79.6,1911,24.11,19.3,28.97,1628.67,0.62,0.91,0.202395297
2004,lao,40.28,40.57,78.5,1946,23.87,18.94,28.85,1762.78,0.53,0.72,0.209981785
2005,lao,42.32,42.96,77.5,1985,24.24,19.47,29.06,1911.04,0.68,1.15,0.2148106
2006,lao,43.59,44.43,76.6,2025,24.2,19.33,29.12,1915.64,0.64,1.03,0.276259028
2007,lao,46.92,48.01,75.3,2063,23.91,19.05,28.82,1857.64,0.66,1.18,0.287071693
2008,lao,50.16,50.94,73.8,2104,23.53,18.9,28.2,2129.78,0.54,0.89,0.333808083
2009,lao,55.52,55.81,72.7,2168,24.15,19.26,29.09,1667.68,0.66,0.99,0.407307947
2010,lao,60.85,59.71,71.5,2220,24.67,19.72,29.66,1777.61,0.72,1.19,0.454991272
2011,lao,68.03,67.41,70.1,2276.5,23.43,18.87,28.03,2192.03,0.61,1.07,0.474258871
2012,lao,72.42,72.26,68.8,2307.25,24.51,19.67,29.39,1867.34,0.65,1.05,0.502688436
2013,lao,75.23,74.97,67.2,2335,24.11,19.35,28.92,2066.34,0.68,1.05,0.630353375
2014,lao,90.06,89.82,65.5,2335,24.28,19.38,29.22,1555.54,0.74,1.09,0.649260983
2015,lao,104.3,104.55,64,2335,24.71,19.89,29.59,1567.26,0.9,1.34,1.307698847
2016,lao,105.64,105.62,62.7,2335,24.64,19.87,29.47,1902.65,1.02,1.65,2.278533289
2017,lao,98.87,99.85,61,2258.9,24.18,19.65,28.76,2070.77,0.92,1.48,2.72288168
2018,lao,99.33,97.97,60.1,2182.8,24.17,19.61,28.78,1888.32,0.85,1.34,2.767597944
2019,lao,103.47,101.81,59.2,2106.7,24.89,19.85,29.98,1459.63,0.98,1.52,2.658175141
2020,lao,106.51,104.61,58.8,2031,24.72,19.88,29.61,1548.98,1.01,1.66,2.620283441
