year,country,cassava,maize,rice ,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,mys ,330000,35000,1926354,50.62,55.75,22.3,6794.5,26.24,22.17,30.35,2650.87,0.4,0.6,3.612950191
1992,mys ,310000,36000,2012732,52.35,58.93,21.8,6806.5,26.14,21.97,30.36,2442.92,0.22,0.21,3.625830342
1993,mys ,300000,38000,2104447,56.59,62.03,21.1,6891.4,26.06,21.96,30.21,2801.28,0.23,0.28,3.834336208
1994,mys ,280000,40000,2138788,56.75,63.26,20.6,6990.9,26.14,22.05,30.28,2960.31,0.31,0.39,4.07067788
1995,mys ,230000,43000,2127271,58.47,62.9,20,6966,26.18,22.21,30.19,3189.97,0.45,0.78,4.286163781
1996,mys ,200000,45000,2228489,59.47,62.9,19.4,6961.1,26.09,22.09,30.14,3171.09,0.33,0.43,4.767966399
1997,mys ,185000,48000,2119615,60.61,62.67,17.3,6958.7,26.41,22.33,30.54,2498.77,0.46,0.53,4.98914358
1998,mys ,170000,50000,1944240,57.52,61.92,18.8,6944.7,26.79,22.79,30.83,2638.66,0.61,0.88,4.845601728
1999,mys ,150000,57000,2036641,62.01,59.8,18.4,6947.1,26.16,22.15,30.21,3403.99,0.38,0.64,5.116744838
2000,mys ,120000,65000,2140800,64.01,59.71,18.4,6938.7,26.29,22.25,30.39,3259.78,0.39,0.59,5.419703075
2001,mys ,110000,67000,2094995,65.65,61.2,15.1,6947,26.39,22.32,30.52,2965.96,0.53,0.77,5.498931996
2002,mys ,100000,70000,2197351,67.01,63.39,14.9,7037.5,26.57,22.41,30.78,2617.4,0.63,0.93,5.64888519
2003,mys ,93000,72000,2257000,72.16,64.29,14.3,7116.24,26.37,22.33,30.47,3103.65,0.62,0.91,5.821076338
2004,mys ,81000,72000,2264000,76.33,66.86,14.6,7131.7,26.33,22.25,30.46,2779.24,0.53,0.72,6.230942287
2005,mys ,78000,75000,2314000,79.64,68.97,14.6,7134.41,26.36,22.28,30.5,2779.18,0.68,1.15,6.440996321
2006,mys ,70000,80000,2187000,83.52,69.42,14.6,7075.2,26.27,22.22,30.37,3108.32,0.64,1.03,6.549858347
2007,mys ,38711,32075,2375000,83.47,71.24,14.7,7107.2,26.2,22.24,30.22,3240.14,0.66,1.18,6.993229591
2008,mys ,35209,32959,2353000,88.08,72.69,14,7150.4,26.01,22.04,30.03,3568.67,0.54,0.89,7.318407813
2009,mys ,68508,36396,2511043,86.22,74.81,13.5,7220,26.31,22.28,30.39,3395.93,0.66,0.99,6.431278592
2010,mys ,37187,47602,2464830,87.76,80.47,13.3,7389.3,26.43,22.41,30.5,3091.64,0.72,1.19,6.959707228
2011,mys ,33206,59842,2575988,94.71,82.85,13.4,7530.6,26.22,22.22,30.26,3435.63,0.61,1.07,6.935319956
2012,mys ,77854,83601,2599382,96.72,86.23,13.3,7829.2,26.41,22.31,30.55,3213.04,0.65,1.05,6.925634921
2013,mys ,62843,86499,2603654,97.64,90.08,12.7,8059.3,26.5,22.47,30.59,3085.4,0.68,1.05,7.402951013
2014,mys ,51911,59188,2844983,99.41,96.27,12.6,8089,26.39,22.27,30.56,2801.23,0.74,1.09,7.719435953
2015,mys ,67713,62460,2741404,103.38,100.75,12.5,8569.97,26.64,22.57,30.75,2653.04,0.9,1.34,7.603420444
2016,mys ,61161,64867,2739606,97.21,102.98,11.4,8571,26.93,22.91,31,2829.87,1.02,1.65,7.348421251
2017,mys ,44229.05,72560.52,2570513,105.53,101.08,11,8571,26.49,22.38,30.64,3324.94,0.92,1.48,7.039825673
2018,mys ,34996.63,68906.65,2639202,102.14,99.81,10.6,8571,26.53,22.27,30.85,3245.4,0.85,1.34,7.452371382
2019,mys ,42285.29,60497.87,2352870,101.51,96.88,10.2,8571,26.8,22.55,31.11,2589.86,0.98,1.52,7.464999716
2020,mys ,37513.74,68207.37,2356391.9,101.95,102.84,10,8571,26.68,22.42,30.99,3042.18,1.01,1.66,7.383715412
