year,country,cassava,maize,rice,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,php,1814880,4655026,9673262,58.27,57.99,45.3,11157,26.17,26.17,30.63,2057.55,0.4,0.6,0.641534894
1992,php,1783733,4618854,9128940,58.44,57.89,45.5,11115,26.01,26.01,30.68,1949.32,0.22,0.21,0.678669162
1993,php,1843055,4797977,9434208,60.19,59.84,45.8,11065,26.12,26.12,30.57,2338.44,0.23,0.28,0.719968356
1994,php,1890509,4519246,10538054,62.32,62.38,44.7,11015,26.24,26.24,30.63,2258.06,0.31,0.39,0.757868227
1995,php,1905903.02,4128510,10540649,62.1,62.1,44.1,11015,26.11,26.11,30.4,2700.05,0.45,0.78,0.886850324
1996,php,1910774.69,4151332,11283568,66.87,66.91,41.7,11105,25.98,25.98,30.07,2568.29,0.33,0.43,0.942981595
1997,php,1958004,4332417,11268963,67.08,67.03,40.4,11335,26.07,26.07,30.4,2080.62,0.46,0.53,1.023775999
1998,php,1733821,3823184,8554824,61.78,61.6,38.6,11285,26.75,26.75,31.14,2198.21,0.61,0.88,0.991653887
1999,php,1890315,4584593,11786625,67.75,67.82,38.8,11235,26.1,26.1,30.16,3344.17,0.38,0.64,0.939305957
2000,php,1765712.33,4511104,12389412,69.93,70.04,37.1,11234,26.23,26.23,30.28,3112.97,0.39,0.59,0.922837864
2001,php,1652035.89,4525012,12954870,72.74,72.74,36.8,11184,26.28,26.28,30.47,2862.34,0.53,0.77,0.882362848
2002,php,1625739,4319262,13270653,74.94,74.97,36.6,11135,26.17,26.17,30.45,2417.42,0.63,0.93,0.876627897
2003,php,1622242,4615625,13499884,77.3,77.33,36.1,11240,26.05,26.05,30.42,2738.8,0.62,0.91,0.88183504
2004,php,1640520,5413386,14496784,79.61,79.54,35.6,11470,26.14,26.14,30.46,2430.44,0.53,0.72,0.883116735
2005,php,1677563.82,5253160,14603005,81.07,81.05,35.1,11355,26.24,26.24,30.51,2549.97,0.68,1.15,0.883249431
2006,php,1756856.13,6082109,15326706,84.12,84.09,34.6,11580,26.29,26.29,30.52,2538.15,0.64,1.03,0.788442016
2007,php,1871138,6736940,16240194,89.15,89.06,34.1,11790,26.29,26.29,30.4,2758.08,0.66,1.18,0.817880458
2008,php,1941573.66,6928225,16815548,92.88,92.86,33.9,12010,25.96,25.96,30.07,3160.46,0.54,0.89,0.822328628
2009,php,2043719,7034033,16266417,92.57,92.59,33.8,12100,25.99,25.99,30.15,2818.23,0.66,0.99,0.821133982
2010,php,2101454,6376796,15772319,91.59,91.51,33,12100,26.27,26.27,30.55,2598.36,0.72,1.19,0.865602879
2011,php,2209684,6971221,16684062,95.29,95.14,32.6,12260,26.03,26.03,30.16,3358.83,0.61,1.07,0.856822589
2012,php,2223181.56,7407068.35,18032525.47,98.62,98.47,32.2,12430,26.37,26.37,30.58,2962.25,0.65,1.05,0.878944848
2013,php,2361561,7377293.3,18439419.73,98.87,98.7,31,12469,26.37,26.37,30.6,2729.13,0.68,1.05,0.957913716
2014,php,2540254,7770602.74,18967826.17,100.79,100.59,30.4,12498,26.24,26.24,30.5,2519.66,0.74,1.09,1.00490795
2015,php,2710919,7518755.72,18149837.78,100.71,100.77,29.2,12527,26.46,26.46,30.74,2373.26,0.9,1.34,1.077253514
2016,php,2755146.29,7218817,17627245,98.49,98.64,27,12556,26.79,26.79,30.93,2491.47,1.02,1.65,1.152751307
2017,php,2807670.8,7914908.49,19276346.63,101.87,101.95,25.4,12590,26.35,26.35,30.4,3176.99,0.92,1.48,1.250314542
2018,php,2723032.59,7771918.63,19066093.94,101.61,101.61,24.3,12613,26.55,26.55,30.74,2770.4,0.85,1.34,1.28139073
2019,php,2630800.28,7978844.55,18814827.29,101.38,101.33,22.9,12636,26.62,26.62,30.76,2396.16,0.98,1.52,1.32152779
2020,php,2607758.63,8118545.88,19294855.51,100.7,100.67,24.8,12659,26.73,26.73,30.87,2534.15,1.01,1.66,1.189679452
