year,country,cassava ,prod ,food ,labor,land ,mean_temp,min_temp,max_temp,prec,glob_nasa,glob_noa,CO2
1991,sgd,10,321.63,321.57,1.2,1.2,27.42,27.42,31.07,2386.1,0.4,0.6,9.720603888
1992,sgd,9.34,263.43,263.38,1.2,1.2,27.35,27.35,31.04,2464.29,0.22,0.21,9.72263579
1993,sgd,7.76,172.63,172.59,1.1,1.2,27.28,27.28,30.88,2640.32,0.23,0.28,10.91429501
1994,sgd,6.73,129.04,129.02,1.1,1.2,27.35,27.35,30.94,2325.27,0.31,0.39,11.10800433
1995,sgd,6.03,127.95,127.93,1.1,1.2,27.45,27.45,30.95,2995.51,0.45,0.78,10.66302625
1996,sgd,5,102.92,102.91,1,1.2,27.39,27.39,30.98,2652.83,0.33,0.43,10.49392705
1997,sgd,0,140.5,140.5,1,1.2,27.78,27.78,31.46,1687.02,0.46,0.53,10.0530079
1998,sgd,0,123.12,123.12,0.8,1.2,28.06,28.06,31.69,2207.53,0.61,0.88,9.433432819
1999,sgd,1.02,131.61,131.61,0.9,1.2,27.37,27.37,30.91,2457.97,0.38,0.64,9.549064181
2000,sgd,0.81,57.18,57.18,0.9,1.2,27.55,27.55,31.14,2703.91,0.39,0.59,10.45647507
2001,sgd,0.6,58.11,58.11,0.9,1.2,27.66,27.66,31.3,2657.65,0.53,0.77,10.15736542
2002,sgd,0.45,76.67,76.67,0.8,1.2,27.99,27.99,31.75,2172.87,0.63,0.93,9.887762066
2003,sgd,0.36,83.95,83.95,0.9,0.8,27.69,27.69,31.3,2846.32,0.62,0.91,9.273223218
2004,sgd,0.3,94.7,94.7,0.8,0.8,27.67,27.67,31.35,2430.41,0.53,0.72,9.508518085
2005,sgd,0.22,74.47,74.47,1.1,0.76,27.68,27.68,31.3,2293.51,0.68,1.15,8.650599822
2006,sgd,0,77.6,77.6,1,0.75,27.52,27.52,31.04,2620.32,0.64,1.03,8.445470894
2007,sgd,0.17,80.52,80.52,1,0.8,27.5,27.5,30.88,2824.8,0.66,1.18,8.343723215
2008,sgd,0.3,73.76,73.76,1,0.7,27.37,27.37,30.74,2847.23,0.54,0.89,7.939751159
2009,sgd,0.48,73.71,73.71,0.9,0.7,27.62,27.62,30.99,2494.81,0.66,0.99,7.785710605
2010,sgd,0.48,76.05,76.05,0.9,0.74,27.92,27.92,31.31,2703.85,0.72,1.19,8.354508373
2011,sgd,0.48,83.75,83.75,0.9,0.73,27.61,27.61,30.89,2760.97,0.61,1.07,8.636110044
2012,sgd,0.48,87.43,87.43,0.8,0.73,27.7,27.7,31.05,2595.82,0.65,1.05,8.224530474
2013,sgd,0.48,96.5,96.5,0.7,0.67,27.85,27.85,31.15,2767.03,0.68,1.05,8.133169555
2014,sgd,0.46,95.25,95.25,0.7,0.66,27.78,27.78,31.32,2132.6,0.74,1.09,8.117137172
2015,sgd,0.47,99.27,99.27,0.6,0.66,27.98,27.98,31.52,1984.05,0.9,1.34,8.208109049
2016,sgd,0.46,105.48,105.48,0.5,0.66,28.18,28.18,31.55,2455.27,1.02,1.65,8.019891274
2017,sgd,0.42,133.2,133.2,0.4,0.66,27.79,27.79,31.22,2625.53,0.92,1.48,8.432299827
2018,sgd,0.38,111.07,111.07,0.4,0.66,27.84,27.84,31.73,2573.56,0.85,1.34,8.018212077
2019,sgd,0.42,123.45,123.45,0.4,0.66,28.19,28.19,32.05,1847.01,0.98,1.52,7.918410385
2020,sgd,0.42,123.38,123.38,0.3,0.66,28.02,28.02,31.84,2484.51,1.01,1.66,7.686683702
